# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 4,,,,,
# V min: 5.19534, V max: 5.23541,,,,,,
# I min: 0.31158, I max: 0.51002,,,,,,
Time,Voltage,Current,Capacity,Energy,,,
41.7,5.22344,0.31407,0.00414128,0.00540946,,,418
41.8,5.22336,0.32734,0.00415019,0.00542133,,,419
41.9,5.22336,0.32729,0.00415929,0.0054332,,,420
42,5.22336,0.32737,0.00416838,0.00544508,,,421
42.1,5.22344,0.32737,0.00417747,0.00545695,,,422
42.2,5.22352,0.33919,0.00418673,0.00546926,,,423
42.3,5.22352,0.31283,0.00419578,0.0054806,,,424
42.4,5.22344,0.31283,0.00420447,0.00549195,,,425
42.5,5.2234,0.31482,0.00421319,0.00550337,,,426
42.6,5.22332,0.32717,0.00422211,0.00551524,,,427
42.7,5.22332,0.32723,0.0042312,0.00552711,,,428
42.8,5.22328,0.37997,0.00424102,0.00554089,,,429
42.9,5.2232,0.32762,0.00425085,0.00555277,,,430
43,5.22317,0.31631,0.00425979,0.00556425,,,431
43.1,5.2232,0.31432,0.00426855,0.00557565,,,432
43.2,5.22317,0.35112,0.00427779,0.00558838,,,433
43.3,5.22277,0.31904,0.0042871,0.00559995,,,434
43.4,5.22281,0.33068,0.00429612,0.00561195,,,435
43.5,5.22281,0.3307,0.00430531,0.00562394,,,436
43.6,5.22289,0.33066,0.00431449,0.00563594,,,437
43.7,5.22285,0.31581,0.00432347,0.00564739,,,438
43.8,5.22281,0.31332,0.00433221,0.00565875,,,439
43.9,5.22293,0.31308,0.00434091,0.00567011,,,440
44,5.22289,0.31681,0.00434966,0.0056816,,,441
44.1,5.22285,0.33026,0.00435865,0.00569358,,,442
44.2,5.22281,0.33026,0.00436782,0.00570556,,,443
44.3,5.2232,0.3272,0.00437695,0.00571743,,,444
